Latitude,Longitude
47.8157169,21.5006846
47.406256,18.9448604
47.6125871,19.1980105
48.0385461,20.9716444
48.3930678,21.3451985
46.9357226,17.4763117
47.4506036,19.6066197
47.2200186,19.3841049
47.5826139,21.1525371
47.035766,18.0200896
47.9095321,19.8798252
47.6116279,21.3437378
47.531399,21.6259782
48.1397015,20.4229656
45.2696958,14.1102086
47.1493444,20.9228324
48.1804348,19.5266015
48.0960676,19.8005642
47.2392356,21.1895381
46.800917,19.3595369
